nome,cognome,codice_fiscale,data_nascita,email,telefono
Leonardo,Farina,FRNLRD51R03D548K,1951-10-03,leonardo.farina@virgilio.it,3705014745
Daniele,Farina,FRNDNL41C24G999L,1941-03-24,daniele.farina@outlook.it,3773583206
Ludovica,Trevisan,TRVLVC66C48L049U,1966-03-08,ludovica.trevisan@icloud.com,3463426689
Paola,Pagani,PGNPLA85M46E625N,1985-08-06,,3275634662
Martina,Orlando,RLNMTN63T60D643Q,1963-12-20,martina.orlando@yahoo.it,3473493017
Cristina,De Santis,DSNCST70T58L781N,1970-12-18,cristina.desantis@fastwebnet.it,3335006492
Caterina,Valente,VLNCRN43T41L781A,1943-12-01,caterina.valente@icloud.com,3299310235
Michele,Orlando,RLNMHL92T12L781C,1992-12-12,,3462672884
Laura,Benedetti,BNDLRA52T46G224F,1952-12-06,,3292255409
Carla,Marchetti,MRCCRL70E56F257J,1970-05-16,carla.marchetti@gmail.com,3426312692
Adele,Pellegrino,PLLDLA43C62F257H,1943-03-22,adele.pellegrino@yahoo.it,3282686231
Elena,Sartori,SRTLNE66S52H703W,1966-11-12,elena.sartori@tim.it,3408225725
Riccardo,Carli,CRLRCR76T19G337B,1976-12-19,riccardo.carli@libero.it,3707418028
Dario,Cattaneo,CTTDRA52S02D612B,1952-11-02,dario.cattaneo@yahoo.it,3208805654
Serena,Pellegrino,PLLSRN54C44F839K,1954-03-04,serena.pellegrino@tim.it,3455195951
Margherita,Villa,VLLMGH57S54F158E,1957-11-14,,3284979651
Monica,Sanna,SNNMNC91L67C351M,1991-07-27,,3381368085
Chiara,Bianchi,BNCCHR90R49H294I,1990-10-09,chiara.bianchi@email.it,3346910964
Marco,Brambilla,BRMMRC62H26H223Z,1962-06-26,marco.brambilla@libero.it,3771661401
Carla,Amato,MTACRL42T69G337O,1942-12-29,carla.amato@libero.it,3897970985
Matteo,Moretti,MRTMTT88E23H703O,1988-05-23,,3489418719
Valeria,Rinaldi,RNLVLR63A60D548C,1963-01-20,valeria.rinaldi@virgilio.it,3462263313
Gabriele,Vitali,VTLGRL04T21H223W,2004-12-21,,3497136687
Valerio,Bianchi,BNCVLR63P22G999P,1963-09-22,valerio.bianchi@tim.it,3667392547
Giovanna,Vitali,VTLGNN60T62B157F,1960-12-22,giovanna.vitali@fastwebnet.it,3772060605
Noemi,Furlan,FRLNMO67B50H224A,1967-02-10,noemi.furlan@libero.it,3472948178
Simone,Ruggiero,RGGSMN52C03F158E,1952-03-03,simone.ruggiero@fastwebnet.it,3452661307
Cinzia,Valente,VLNCNZ65B44F205O,1965-02-04,cinzia.valente@outlook.it,3402666893
Cristina,Galli,GLLCST72C46F205Z,1972-03-06,cristina.galli@outlook.it,3804558545
Roberto,Gatti,GTTRRT61S07G273G,1961-11-07,roberto.gatti@outlook.it,3664623062
Enrico,Fontana,FNTNRC93H20H501X,1993-06-20,enrico.fontana@libero.it,3312844258
Michele,Bianchi,BNCMHL72B20B354Y,1972-02-20,michele.bianchi@tiscali.it,3351879109
Sergio,Carli,CRLSRG50C13E625O,1950-03-13,sergio.carli@virgilio.it,3288583392
Luigi,Visentin,VSNLGU99B10L049H,1999-02-10,luigi.visentin@email.it,3452811298
Michela,Amato,MTAMHL46M45H703D,1946-08-05,michela.amato@tiscali.it,3356455706
Claudia,Carli,CRLCLD66H56L424U,1966-06-16,claudia.carli@icloud.com,3774607488
Camilla,Martinelli,MRTCLL77B54L781K,1977-02-14,camilla.martinelli@icloud.com,3456243275
Federica,Santoro,SNTFRC01M53D548V,2001-08-13,federica.santoro@gmail.com,3287251976
Angelo,Baresi,BRSNGL90E20G999C,1990-05-20,angelo.baresi@gmail.com,3451863121
Claudia,Ferri,FRRCLD71L59L219D,1971-07-19,claudia.ferri@outlook.it,3342815603
Margherita,Rizzi,RZZMGH72T62L219Q,1972-12-22,margherita.rizzi@tiscali.it,3701440466
Maria,Ferrara,FRRMRA64L47G478N,1964-07-07,maria.ferrara@tim.it,3297724045
Aldo,Zanetti,ZNTLDA96R20H501W,1996-10-20,aldo.zanetti@fastwebnet.it,3466719285
Giacomo,Ferri,FRRGCM04P26L781S,2004-09-26,giacomo.ferri@tiscali.it,3293640899
Salvatore,Castelli,CSTSVT79R02H223O,1979-10-02,salvatore.castelli@tiscali.it,3339595744
Diego,D'Amico,DMCDGI49T12C351Y,1949-12-12,diego.damico@tiscali.it,3381761976
Valerio,Pagani,PGNVLR44S30H501Q,1944-11-30,valerio.pagani@outlook.it,3386504979
Mario,Testa,TSTMRA78M20D969H,1978-08-20,mario.testa@fastwebnet.it,3496941939
Valerio,Zanetti,ZNTVLR43R18G224Y,1943-10-18,valerio.zanetti@gmail.com,3667785090
Silvia,Rizzo,RZZSLV76E43H501G,1976-05-03,,3318719145
Angela,D'Amico,DMCNGL49H70D612A,1949-06-30,angela.damico@icloud.com,3386696087
Enrico,Rinaldi,RNLNRC46S07L049Z,1946-11-07,enrico.rinaldi@fastwebnet.it,3403477824
Domenico,Fontana,FNTDNC62T18A944U,1962-12-18,domenico.fontana@libero.it,3319289908
Antonella,Barone,BRNNNL91T67L424P,1991-12-27,antonella.barone@tiscali.it,3396303930
Renato,Gallo,GLLRNT82A25L424Y,1982-01-25,renato.gallo@yahoo.it,3482244712
Vittoria,Bernardi,BRNVTR43E57F205Z,1943-05-17,vittoria.bernardi@yahoo.it,3709507186
Vittoria,Cattaneo,CTTVTR89P63B354A,1989-09-23,vittoria.cattaneo@email.it,3336394323
Roberta,Santoro,SNTRRT45L60L424J,1945-07-20,roberta.santoro@tim.it,3773895058
Riccardo,Rossetti,RSSRCR79D10L424N,1979-04-10,riccardo.rossetti@tiscali.it,3387499771
Luisa,Pellegrini,PLLLSU00S67F257Z,2000-11-27,luisa.pellegrini@tim.it,3497485471
Rita,Benedetti,BNDRTI98S66D548E,1998-11-26,rita.benedetti@libero.it,3803372774
Sara,Locatelli,LCTSRA02M70H223S,2002-08-30,sara.locatelli@tiscali.it,3497319630
Stefania,Moretti,MRTSFN00B53G478R,2000-02-13,stefania.moretti@fastwebnet.it,3459531021
Maria,Monti,MNTMRA67P56D969F,1967-09-16,,3399158272
Gabriele,Barbieri,BRBGRL53S25F839D,1953-11-25,gabriele.barbieri@gmail.com,3246649968
Emanuele,Santoro,SNTMNL54L22D969F,1954-07-22,emanuele.santoro@tiscali.it,3457111929
Renato,Colombo,CLMRNT65L24H199G,1965-07-24,renato.colombo@virgilio.it,3388868776
Giacomo,Vitali,VTLGCM91C05L424X,1991-03-05,giacomo.vitali@yahoo.it,3453718884
Giorgio,Coppola,CPPGRG44P05H224R,1944-09-05,giorgio.coppola@tim.it,3285782563
Massimo,Castelli,CSTMSM80D23H703J,1980-04-23,massimo.castelli@icloud.com,3401447451
Giuseppina,Donati,DNTGPP85A53L736L,1985-01-13,giuseppina.donati@gmail.com,3392662338
Carla,Fontana,FNTCRL52E45F205V,1952-05-05,carla.fontana@virgilio.it,3461088100
Antonio,Coppola,CPPNTN59E07D643K,1959-05-07,antonio.coppola@tiscali.it,3384986941
Sofia,Greco,GRCSFO61E63G224M,1961-05-23,sofia.greco@tiscali.it,3479993490
Simone,Trevisan,TRVSMN52S17C351T,1952-11-17,simone.trevisan@tiscali.it,3454142605
Fabrizio,Gallo,GLLFRZ87C12G999G,1987-03-12,fabrizio.gallo@fastwebnet.it,3471730386
Nicole,Marini,MRNNCL62R43E625Y,1962-10-03,nicole.marini@gmail.com,3772739191
Francesca,Marino,MRNFNC71M50G999Z,1971-08-10,francesca.marino@libero.it,3474058117
Vincenzo,Trevisan,TRVVCN81A22F205B,1981-01-22,vincenzo.trevisan@email.it,3389646701
Stefania,Pellegrino,PLLSFN82H61A662C,1982-06-21,stefania.pellegrino@outlook.it,3776568772
Sofia,Marini,MRNSFO79C55H703Y,1979-03-15,sofia.marini@virgilio.it,3479347057
Ludovica,Negri,NGRLVC63T45B354Y,1963-12-05,ludovica.negri@icloud.com,3315928582
Giovanna,De Luca,DLCGNN69H42H223D,1969-06-02,giovanna.deluca@virgilio.it,3888447546
Camilla,Marino,MRNCLL05C56H294D,2005-03-16,,3708297090
Irene,Bruno,BRNRNI46P64H223G,1946-09-24,irene.bruno@tim.it,3203395441
Anna,Moretti,MRTNNA46A52D612C,1946-01-12,anna.moretti@tim.it,3243574265
Aurora,Marini,MRNRRA73E57L424G,1973-05-17,aurora.marini@tiscali.it,3426274512
Teresa,Rizzo,RZZTRS42D69E625Y,1942-04-29,teresa.rizzo@fastwebnet.it,3355366937
Carmela,Colombo,CLMCML65M54G478C,1965-08-14,,3474358435
Giorgio,Conti,CNTGRG80L21D969Y,1980-07-21,,3462472884
Eleonora,Palumbo,PLMLNR03M68F839T,2003-08-28,eleonora.palumbo@yahoo.it,3773920762
Roberta,Gentile,GNTRRT50S60A944W,1950-11-20,roberta.gentile@outlook.it,3497189302
Elisabetta,Farina,FRNLBT51M63F257B,1951-08-23,,3276189037
Michela,Benedetti,BNDMHL82T50L049I,1982-12-10,michela.benedetti@icloud.com,3392244282
Vittoria,Mazza,MZZVTR86E71L736X,1986-05-31,vittoria.mazza@fastwebnet.it,3298258130
Paolo,Negri,NGRPLA53P23C351R,1953-09-23,paolo.negri@tim.it,3485765539
Tommaso,Martini,MRTTMS96T21G999W,1996-12-21,tommaso.martini@yahoo.it,3483829240
Alessandro,Fontanella,FNTLSN96A09E625D,1996-01-09,,3391691125
Salvatore,Marino,MRNSVT97L19H199L,1997-07-19,salvatore.marino@outlook.it,3701508113
Arianna,Poli,PLORNN88T51C351F,1988-12-11,arianna.poli@yahoo.it,3425990112
Rosa,Sartori,SRTRSO45E57D969A,1945-05-17,rosa.sartori@virgilio.it,3703410360
Adele,Trevisan,TRVDLA68M64E625I,1968-08-24,,3407689354
Giacomo,Grassi,GRSGCM90E22L219M,1990-05-22,giacomo.grassi@virgilio.it,3343363534
Roberto,Fabbri,FBBRRT74H18H294Q,1974-06-18,roberto.fabbri@outlook.it,3896246485
Massimo,Testa,TSTMSM86C06L424C,1986-03-06,massimo.testa@yahoo.it,3429479950
Ginevra,Vitale,VTLGVR59D60G337F,1959-04-20,ginevra.vitale@email.it,3778895137
Cristina,Bianchi,BNCCST49M63G224S,1949-08-23,cristina.bianchi@yahoo.it,3401759041
Giuseppina,Barone,BRNGPP90E67A944S,1990-05-27,giuseppina.barone@yahoo.it,3465692934
Michele,Costa,CSTMHL75E04L736H,1975-05-04,michele.costa@tim.it,3339541658
Roberta,Marino,MRNRRT44A64F205V,1944-01-24,roberta.marino@tim.it,3299648751
Alberto,Colombo,CLMLRT68L29D969R,1968-07-29,alberto.colombo@tiscali.it,3399511333
Michela,Barone,BRNMHL66S63B157Q,1966-11-23,michela.barone@tim.it,3456161977
Marcello,Marchetti,MRCMCL98R25B354M,1998-10-25,,3664817541
Giancarlo,Rinaldi,RNLGCR87A12H224F,1987-01-12,giancarlo.rinaldi@icloud.com,3242843740
Antonio,Amato,MTANTN68B22G224A,1968-02-22,antonio.amato@outlook.it,3472044906
Lorenzo,Rizzi,RZZLNZ69B28H223W,1969-02-28,lorenzo.rizzi@icloud.com,3496743294
Serena,Benedetti,BNDSRN01A66H224C,2001-01-26,serena.benedetti@yahoo.it,3345680950
Caterina,Villa,VLLCRN65T45G478K,1965-12-05,caterina.villa@virgilio.it,3495587856
Sofia,Lombardi,LMBSFO00P53G999E,2000-09-13,sofia.lombardi@icloud.com,3245825636
Diego,Amato,MTADGI98S06A662Q,1998-11-06,diego.amato@outlook.it,3495557052
Domenico,Colombo,CLMDNC92M24D612F,1992-08-24,domenico.colombo@fastwebnet.it,3242681042
Martina,Trevisan,TRVMTN82E59L219S,1982-05-19,martina.trevisan@libero.it,3458980915
Marta,Martini,MRTMRT65R48L781T,1965-10-08,marta.martini@email.it,3664896008
Davide,Costantini,CSTDVD55R09D548J,1955-10-09,,3429311162
Alessio,Ricci,RCCLSS40R30C351N,1940-10-30,alessio.ricci@gmail.com,3779796605
Arianna,Barbieri,BRBRNN85C67L424U,1985-03-27,arianna.barbieri@gmail.com,3775316188
Giuseppe,Zanetti,ZNTGPP70C30B354S,1970-03-30,giuseppe.zanetti@outlook.it,3428175669
Angela,Piras,PRSNGL00A56L219B,2000-01-16,angela.piras@libero.it,3205375250
Teresa,Bernardi,BRNTRS63T54L781I,1963-12-14,teresa.bernardi@tiscali.it,3404964499
Paolo,Caputo,CPTPLA67L11D969B,1967-07-11,paolo.caputo@fastwebnet.it,3285949909
Cinzia,Gentile,GNTCNZ59M69G273Z,1959-08-29,cinzia.gentile@virgilio.it,3458899184
Riccardo,Mazza,MZZRCR93H14H294E,1993-06-14,riccardo.mazza@fastwebnet.it,3272882551
Matteo,Lombardi,LMBMTT88B23G273S,1988-02-23,matteo.lombardi@fastwebnet.it,3339201172
Claudio,Bruno,BRNCLD80P05G273C,1980-09-05,claudio.bruno@virgilio.it,3466170227
Valerio,Coppola,CPPVLR40D08E625E,1940-04-08,valerio.coppola@gmail.com,3882069713
Vincenzo,Fiore,FRIVCN42S05C351I,1942-11-05,vincenzo.fiore@libero.it,3457282411
Camilla,Basile,BSLCLL73P53F839S,1973-09-13,camilla.basile@fastwebnet.it,3283994290
Daniela,Moretti,MRTDNL05D59D612Q,2005-04-19,daniela.moretti@email.it,3898115687
Stefania,Martinelli,MRTSFN62C56L424K,1962-03-16,stefania.martinelli@yahoo.it,3808033690
Simone,Leone,LNESMN46A13L219H,1946-01-13,simone.leone@virgilio.it,3341742169
Camilla,Martinelli,MRTCLL88H43A944Z,1988-06-03,camilla.martinelli@email.it,3346350316
Teresa,Villa,VLLTRS52S47H223J,1952-11-07,teresa.villa@icloud.com,3493938247
Barbara,Testa,TSTBBR44C56L736S,1944-03-16,,3807394713
Veronica,Costantini,CSTVNC76M56G273K,1976-08-16,veronica.costantini@libero.it,3344780654
Margherita,Rossetti,RSSMGH52T53B354F,1952-12-13,margherita.rossetti@email.it,3499891787
Nicola,Serra,SRRNCL62S16A944P,1962-11-16,nicola.serra@gmail.com,3494195751
Leonardo,Basile,BSLLRD00H08F257J,2000-06-08,leonardo.basile@gmail.com,3494640933
Carmela,Gatti,GTTCML67C54D548D,1967-03-14,carmela.gatti@outlook.it,3344431161
Noemi,Vitale,VTLNMO89L52L781A,1989-07-12,noemi.vitale@icloud.com,3406174467
Federica,Grassi,GRSFRC84M51L424G,1984-08-11,federica.grassi@virgilio.it,3406249960
Anna,Barone,BRNNNA59S47E625D,1959-11-07,anna.barone@yahoo.it,3898005797
Lucia,Martini,MRTLCU69M45D612M,1969-08-05,lucia.martini@outlook.it,3806663388
Antonella,Sorrentino,SRRNNL04S69H224S,2004-11-29,antonella.sorrentino@virgilio.it,3299192588
Angelo,Carli,CRLNGL43A13D643L,1943-01-13,angelo.carli@email.it,3294882808
Stefano,Bianchi,BNCSFN59M16L049Z,1959-08-16,stefano.bianchi@email.it,3709106820
Maria,Rossi,RSSMRA87P70G999W,1987-09-30,maria.rossi@email.it,3381287605
Elisabetta,Caruso,CRSLBT49M47D548E,1949-08-07,elisabetta.caruso@libero.it,3485234874
Chiara,Donati,DNTCHR47B42L736L,1947-02-02,,3465080351
Fabio,Mazza,MZZFBA47C26H224C,1947-03-26,,3771531577
Vito,Basile,BSLVTI73S02G999D,1973-11-02,vito.basile@email.it,3478279795
Monica,Costa,CSTMNC87E60D548W,1987-05-20,monica.costa@outlook.it,3351781180
Filippo,Pellegrino,PLLFPP90L22H223Q,1990-07-22,filippo.pellegrino@tim.it,3297682298
Fabio,Mariani,MRNFBA90M05D612G,1990-08-05,fabio.mariani@icloud.com,3423347981
Diego,Greco,GRCDGI48R05G224T,1948-10-05,diego.greco@gmail.com,3707655572
Maria,Bernasconi,BRNMRA64L49B354X,1964-07-09,,3474827527
Barbara,Basile,BSLBBR78P68D969O,1978-09-28,barbara.basile@icloud.com,3342233237
Leonardo,Santoro,SNTLRD74B02G478Y,1974-02-02,leonardo.santoro@libero.it,3402787627
Mario,Ferri,FRRMRA79S25L736B,1979-11-25,mario.ferri@gmail.com,3458530347
Giovanna,Esposito,SPSGNN48A55L736E,1948-01-15,giovanna.esposito@tiscali.it,3205896386
Giorgia,De Luca,DLCGRG05A50H703J,2005-01-10,giorgia.deluca@outlook.it,3807387623
Giorgio,Castelli,CSTGRG67A06A662R,1967-01-06,giorgio.castelli@gmail.com,3456029008
Carla,Conti,CNTCRL72E65A662W,1972-05-25,,3899318184
Mauro,Giordano,GRDMRA52B26C351B,1952-02-26,mauro.giordano@icloud.com,3398385715
Alice,Locatelli,LCTLCA93D69G273P,1993-04-29,alice.locatelli@tiscali.it,3393980258
Ginevra,Guerra,GRRGVR66B63E625L,1966-02-23,ginevra.guerra@virgilio.it,3425702656
Federica,Rizzo,RZZFRC90M42A944X,1990-08-02,federica.rizzo@fastwebnet.it,3208744735
Renato,Fabbri,FBBRNT02B26F839I,2002-02-26,renato.fabbri@icloud.com,3776080688
Tommaso,Fontanella,FNTTMS53R29G478B,1953-10-29,tommaso.fontanella@icloud.com,3477724393
Cristina,Ricci,RCCCST72D43G478W,1972-04-03,,3492425760
Riccardo,Fontanella,FNTRCR99M19L736N,1999-08-19,riccardo.fontanella@tiscali.it,3807704473
Ginevra,D'Amico,DMCGVR49L43H501G,1949-07-03,ginevra.damico@outlook.it,3664708297
Federica,Donati,DNTFRC81L57H199C,1981-07-17,federica.donati@fastwebnet.it,3472754047
Beatrice,De Luca,DLCBRC50E71D643O,1950-05-31,,3296843985
Martina,Silvestri,SLVMTN58L63L049R,1958-07-23,martina.silvestri@virgilio.it,3466350413
Fabio,Marino,MRNFBA03R07L219X,2003-10-07,fabio.marino@tim.it,3315092180
Massimo,Gatti,GTTMSM90C24G224N,1990-03-24,,3347795568
Andrea,Bernasconi,BRNNDR98T20G224M,1998-12-20,andrea.bernasconi@tiscali.it,3457523581
Federico,Leone,LNEFRC64T20H199K,1964-12-20,federico.leone@gmail.com,3317136988
Paola,Silvestri,SLVPLA50C63A662F,1950-03-23,paola.silvestri@virgilio.it,3707520284
Simona,Rizzo,RZZSMN71C59L736S,1971-03-19,simona.rizzo@tiscali.it,3702421902
Claudio,Lombardo,LMBCLD61E27C351F,1961-05-27,claudio.lombardo@tim.it,3428016887
Nicola,Carbone,CRBNCL56M30B157L,1956-08-30,nicola.carbone@libero.it,3383353785
Claudio,Bernardi,BRNCLD95L27F205O,1995-07-27,,3209130388
Marco,Riva,RVIMRC90E19L049D,1990-05-19,marco.riva@icloud.com,3888446596
Elena,De Luca,DLCLNE90P61H501E,1990-09-21,elena.deluca@outlook.it,3345843084
Mauro,Barone,BRNMRA84H08G999R,1984-06-08,mauro.barone@tiscali.it,3401698108
Cristina,Longo,LNGCST78B61L219E,1978-02-21,cristina.longo@outlook.it,3356848151
Renato,Lombardo,LMBRNT61D04A944I,1961-04-04,renato.lombardo@tiscali.it,3778183451
Giorgio,Leone,LNEGRG58L26B354G,1958-07-26,giorgio.leone@tim.it,3493824903
Nicole,Rossetti,RSSNCL66D43C351Q,1966-04-03,nicole.rossetti@fastwebnet.it,3451994652
Adele,Locatelli,LCTDLA51E60G478U,1951-05-20,,3343453557
Valeria,Serra,SRRVLR00M71F158E,2000-08-31,valeria.serra@tiscali.it,3457294347
Rosa,Bernasconi,BRNRSO48E48F158C,1948-05-08,rosa.bernasconi@yahoo.it,3476491002
